"id","created_at","name","email","address","city","state","zip","birth_date","latitude","longitude","password","source"
1,"2017-10-07 01:34:35.462","Hudson Borer","borer-hudson@yahoo.com","9611-9809 West Rosedale Road","Wood River","NE","68883","1986-12-12",40.71314890000001,-98.5259864,"ccca881f-3e4b-4e5c-8336-354103604af6","Twitter"
2,"2018-04-09 12:10:05.167","Domenica Williamson","williamson-domenica@yahoo.com","101 4th Street","Searsboro","IA","50242","1967-06-10",41.5813224,-92.6991321,"eafc45bf-cf8e-4c96-ab35-ce44d0021597","Affiliate"
3,"2017-06-27 06:06:20.625","Lina Heaney","lina.heaney@yahoo.com","29494 Anderson Drive","Sandstone","MN","55072","1961-12-18",46.11973039999999,-92.8416108,"36f67891-34e5-4439-a8a4-2d9246775ff8","Facebook"
4,"2019-02-21 13:59:15.348","Arnold Adams","adams.arnold@gmail.com","2-7900 Cuerno Verde Road","Rye","CO","81069","1992-08-12",37.9202933,-104.9726909,"537a727b-7525-44a3-99c8-8fdc488fbf02","Google"
5,"2017-09-05 03:36:44.811","Dominique Leffler","leffler.dominique@hotmail.com","761 Fish Hill Road","Beaver Dams","NY","14812","1974-04-20",42.348954,-77.056681,"6a802b6c-4da8-4881-9ca6-4f69085c7c14","Twitter"
6,"2016-09-22 10:08:29.599","Rene Muller","rene.muller@gmail.com","1243 West Whitney Street","Morse","LA","70559","1983-03-27",30.1514772,-92.4861786,"760495fb-9c38-4351-a6ee-4743d10d345e","Google"
7,"2018-05-24 06:18:20.069","Roselyn Bosco","bosco.roselyn@hotmail.com","630 Coaker Road","Leakesville","MS","39451","1996-01-19",31.2341055,-88.5856948,"43adf4af-055b-4a39-bc06-489fb0ffcf40","Facebook"
8,"2017-08-18 02:55:11.873","Aracely Jenkins","aracely.jenkins@gmail.com","1167 East 570th Avenue","Pittsburg","KS","66762","1973-06-05",37.43472089999999,-94.6426865,"6bb01b7f-6426-47d3-bfca-95dcc42b8b27","Facebook"
9,"2018-10-13 23:52:56.176","Anais Ward","ward.anais@gmail.com","5816-5894 280th Street","Ida Grove","IA","51445","1999-10-16",42.29790209999999,-95.4673587,"a3de5208-2f2f-4c81-9fe7-8d254bd5095d","Twitter"
10,"2018-08-16 12:16:30.307","Tressa White","white.tressa@yahoo.com","13081-13217 Main Street","Upper Sandusky","OH","43351","1968-01-13",40.8006673,-83.2838391,"81052233-b32e-43cb-9505-700dbd8d3fca","Google"
11,"2018-03-19 07:17:22.759","Lolita Schaefer","schaefer-lolita@hotmail.com","495 Juniper Road","Pilot Mound","IA","50223","1982-08-20",42.1394217,-93.982366,"ceddd766-924b-4856-9dcb-a15b4c1b154c","Facebook"
12,"2018-06-27 17:25:24.344","Ciara Larson","ciara-larson@hotmail.com","16701-16743 449th Avenue","Florence","SD","57235","1982-12-16",44.9564152,-97.2287266,"eb925d11-ea2f-41fb-a490-72b7c2b24dc0","Facebook"
13,"2017-09-21 16:21:06.408","Mustafa Thiel","mustafa.thiel@hotmail.com","2993 Hoskings Ranch Road","Santa Ysabel","CA","92070","1963-07-20",33.08172,-116.661853,"bb85c7fa-4314-4e41-a060-7d0159f16931","Facebook"
14,"2018-06-17 23:29:39.271","Lavonne Senger","senger.lavonne@yahoo.com","3964 Chico River Road","Chico","CA","95928","1963-09-22",39.6485802,-121.9343322,"8beebcc9-a376-447a-812f-7544fdc52ec7","Facebook"
15,"2018-12-20 17:50:32.296","Bertrand Romaguera","romaguera.bertrand@gmail.com","258 Opal Road","El Paso","AR","72045","2000-02-14",35.1080351,-92.0101859,"2734ae7a-aa25-4907-9d2e-a6992750db60","Twitter"
16,"2016-05-14 23:44:56.182","Khalid Pouros","khalid-pouros@yahoo.com","3234 County Road 7","Greensboro","AL","36744","1961-09-16",32.7042678,-87.54135959999999,"e60e4c1e-c9dc-47fe-9f4b-138651cebd85","Google"
17,"2017-03-05 20:38:57.437","Lora Cronin","lora-cronin@gmail.com","6111 Rogue Riv","Gold Beach","OR","97444","1990-02-16",42.5048529,-124.1878367,"1b414387-e9c0-4b97-ba60-263268e38f3d","Organic"
18,"2017-04-25 20:11:39.43","Arely Pollich","pollich-arely@yahoo.com","13116 Northeast Sandy Boulevard","Portland","OR","97230","1990-06-27",45.554885,-122.5277436,"251cd4bd-d7c9-4704-a864-edd953952a9b","Affiliate"
19,"2018-12-03 07:27:47.569","Wyman Kertzmann","wyman-kertzmann@gmail.com","1460 Grays Creek Road","Grants Pass","OR","97527","1975-07-23",42.3222669,-123.324017,"89ef82c4-55e2-4907-94a6-09b0368b3c58","Affiliate"
20,"2018-10-12 23:32:17.853","John Aufderhar","aufderhar.john@yahoo.com","52737 570th Street","Marne","IA","51552","1991-10-26",41.466973,-95.1012128,"edd767f7-ef71-42bf-807e-f96fdee4b7b4","Affiliate"
21,"2017-06-07 03:02:25.602","Angela Botsford","angela-botsford@hotmail.com","2002-2078 North J Road","Phillips","NE","68865","1999-07-17",40.9764889,-98.13254409999999,"4d4e6ab3-88a9-462f-9244-80d1865b31b1","Twitter"
22,"2017-09-29 21:34:43.775","Jeromy Smith","jeromy.smith@yahoo.com","1165 Rimrock Drive","Napa","CA","94558","1967-02-16",38.5063378,-122.1878842,"5858bd6f-7731-4e39-a506-f5e29419785a","Twitter"
23,"2017-04-16 01:10:35.969","Candida Kiehn","kiehn-candida@yahoo.com","2003 Brigham Landing Road","Girard","GA","30426","1971-08-06",33.0854659,-81.67635899999999,"8e866dca-3fa2-4c1d-aeaa-cf0a2642ce95","Facebook"
24,"2019-01-26 06:39:38.701","Nya Weber","weber-nya@gmail.com","20930 Sugar Hills Road","Cohasset","MN","55721","1971-01-13",47.1794946,-93.6321358,"07401ce0-ed0d-406d-b370-4aa0945a6196","Facebook"
25,"2016-08-16 02:51:36.698","Araceli Stiedemann","stiedemann.araceli@yahoo.com","1201-2099 Plumberosa Drive","Fayetteville","AR","72701","1979-02-05",36.0479853,-94.20265719999999,"51421352-6fdf-456e-93c9-41875c275480","Twitter"
26,"2016-10-03 08:40:35.686","Dagmar Fay","dagmar.fay@gmail.com","19480 Happy Creek Road","Winnemucca","NV","89445","1962-07-20",41.4720902,-118.346273,"c754f596-48c4-4857-9000-8ea132605d6e","Organic"
27,"2017-04-05 16:05:38.485","Kyler Abshire","kyler.abshire@yahoo.com","2398-2558 Township Highway 249","Arcadia","OH","44804","1989-09-27",41.1278979,-83.5359594,"179376b7-cb5e-4a61-990a-7fa5df7c1e8a","Organic"
28,"2017-05-05 07:29:27.053","Keon Cartwright","keon-cartwright@hotmail.com","355 Road 2538","Baldwyn","MS","38824","1991-10-25",34.4325826,-88.5702919,"b9245148-1f98-4410-89ea-ec4035d97c19","Affiliate"
29,"2019-01-28 10:06:09.056","Broderick Lockman","broderick-lockman@gmail.com","5125 Duffy Road Southeast","Lancaster","OH","43130","1990-09-09",39.6955024,-82.5027112,"38b3c74d-9d98-4547-94b9-9bcac3d5a762","Facebook"
30,"2016-12-09 04:07:48.891","Desiree Walsh","walsh-desiree@gmail.com","13-99 Deberry Levee Road","DeWitt","AR","72042","1988-02-23",34.3125434,-91.20821,"20634749-9fa0-4ffe-8f9c-c7cb1c3d5e82","Affiliate"
31,"2019-04-05 20:13:51.205","Cleora Hilll","cleora.hilll@hotmail.com","2303 Christianson Hill Road","Houston","MN","55943","1995-02-02",43.80686660000001,-91.6359614,"866c311b-f3b4-4752-a199-0ec05072a730","Affiliate"
32,"2018-02-25 03:42:16.554","Jayden Hamill","jayden.hamill@gmail.com","6101 County Road CC67","Pueblo","CO","81004","1967-05-23",37.94777029999999,-104.8778192,"473f01a2-ea14-4782-ab69-0f7ab4e561a4","Google"
33,"2018-08-16 19:08:43.814","Alphonso Quigley","alphonso-quigley@yahoo.com","33430 Danver Trail","Steamboat Springs","CO","80487","1997-04-20",40.3372992,-106.7981696,"c07018ad-28b4-48da-a707-f513a5969d92","Affiliate"
34,"2019-01-13 05:02:49.513","Emilie Goyette","goyette-emilie@yahoo.com","3349 Holly Springs Road","Amissville","VA","20106","1966-05-25",38.656887,-77.975854,"2ef33e82-9576-41c2-986e-777703a014f8","Organic"
35,"2018-12-07 20:44:08.982","Chelsey Schuppe","schuppe-chelsey@hotmail.com","N1962 County Road K","Sharon","WI","53585","1984-03-19",42.5616569,-88.677537,"6aa1e263-6496-4e45-802e-eadeb123f420","Twitter"
36,"2017-10-13 05:18:15.329","Kaley Ziemann","ziemann-kaley@yahoo.com","244-298 Northwest 180 Road","Hoisington","KS","67544","1967-10-31",38.6232452,-98.8225441,"51d4f8b2-71d3-4378-a7a0-46f22472cc26","Organic"
37,"2017-02-05 06:39:15.958","Jaleel Collins","jaleel.collins@gmail.com","3210-3298 West Overton Road","Tucson","AZ","85742","1978-10-10",32.3735889,-111.03742,"608dbb0f-a21e-43bb-9688-5a1f5d3bf8cd","Facebook"
38,"2016-11-22 01:11:34.237","Cecilia Stark","cecilia.stark@hotmail.com","155 Cow Creek Road","Hurricane","WV","25526","1981-12-16",38.4920821,-82.0002696,"b3f69b9a-5221-4708-87ca-6aad41dceb43","Facebook"
39,"2018-04-02 13:07:05.644","Andreanne Hills","andreanne-hills@yahoo.com","618 150th Avenue","Edgerton","MN","56128","1988-04-26",43.9393467,-96.1592993,"8893e779-0875-4325-a795-0ca65555530d","Organic"
40,"2017-03-06 00:54:32.105","Elyssa Wolf","wolf.elyssa@hotmail.com","171 Olive Oyle Lane","Dale","TX","78616","1978-09-04",29.99592,-97.5590129,"48eb05e6-8c28-46d0-a072-e4ad3191182d","Google"
41,"2018-05-24 16:27:39.25","Bernadine Gorczany","bernadine.gorczany@hotmail.com","31619 Silverado Lane","Waukee","IA","50263","1984-03-24",41.539616,-93.874784,"059d446f-2382-4891-9099-79bc4c61023f","Google"
42,"2017-04-12 08:31:53.943","Reyes Strosin","reyes-strosin@yahoo.com","30379-30383 Herbrecht Road","Watertown","NY","13601","1992-05-23",44.10684560000001,-75.9958097,"b5cf239e-3f04-4301-8356-e43da503553a","Google"
43,"2017-06-04 06:12:21.524","Chaya Volkman","volkman.chaya@hotmail.com","18001-18999 North Morrion","Dike","IA","50624","1962-09-14",42.43880739999999,-92.6713936,"3f43356b-8191-4fd4-86a9-435020c483b5","Twitter"
44,"2017-01-04 22:28:00.846","Carroll Kohler","carroll.kohler@hotmail.com","4251-4389 485th Avenue","Mallard","IA","50562","1999-03-19",43.0246186,-94.6294178,"a0b2035f-6e00-4119-943a-c60b79f7534e","Facebook"
45,"2016-09-26 21:46:48.626","Gilbert Abbott","abbott-gilbert@yahoo.com","28001-28599 180th Street","Columbus Junction","IA","52738","1963-03-23",41.3221172,-91.47486099999999,"5633576b-48aa-49fa-af06-6ac1614b4a05","Organic"
